TIME;YAW_RATE_DEG_S
0.000000;0.000000
20.000000;127.527695
40.000000;226.715881
60.000000;354.243561
80.000000;439.262024
100.000000;552.619934
120.000000;637.638428
140.000000;708.487122
160.000000;765.166077
180.000000;821.845093
200.000000;878.524109
220.000000;921.033203
240.000000;949.372681
260.000000;977.712219
280.000000;977.712219
300.000000;1006.051697
320.000000;1006.051697
340.000000;1020.221558
360.000000;1020.221558
380.000000;1006.051819
400.000000;1034.391235
420.000000;1034.391235
440.000000;1020.221558
460.000000;1048.560913
480.000000;1006.051819
500.000000;1006.051819
520.000000;1048.560913
540.000000;1020.221558
560.000000;1006.051819
580.000000;1034.391235
600.000000;1006.051819
620.000000;1020.221558
640.000000;1034.391235
660.000000;1006.051819
680.000000;1020.221558
700.000000;1034.391235
720.000000;1006.051819
740.000000;1020.221558
760.000000;1020.221558
780.000000;1006.051819
800.000000;991.881958
820.000000;1034.391235
840.000000;1020.221558
860.000000;1006.051819
880.000000;1020.221558
900.000000;1020.221558
920.000000;991.881958
940.000000;1034.391235
960.000000;1006.051819
980.000000;1006.051819
