TIME,VELOCITY
0,0
20,74.192589
40,92.740738
60,139.111099
80,185.481476
100,231.851852
120,259.674072
140,315.318512
160,324.59259
180,352.414795
200,380.237
220,398.785156
240,435.88147
260,454.429626
280,491.52594
300,500.799988
320,519.348145
340,537.89624
360,537.89624
380,556.444397
400,565.718506
420,574.992554
440,584.266602
460,593.54071
480,612.088867
500,621.362915
520,621.362915
540,630.637024
560,621.362915
580,630.637024
600,630.637024
620,649.185181
640,649.185181
660,658.459229
680,658.459229
700,658.459229
720,649.185181
740,649.185181
760,667.733276
780,658.459229
800,677.007385
820,667.733276
840,667.733337
860,667.733337
880,667.733276
900,658.459229
920,677.007385
940,686.281494
960,677.007385
980,677.007385
1000,686.281433
1020,667.733337
1040,686.281433
1060,686.281494
1080,686.281433
1100,686.281494
1120,686.281433
1140,686.281433
1160,677.007385
1180,686.281433
1200,686.281494
1220,695.555542
1240,695.555542
1260,695.555542
1280,686.281433
1300,686.281433
1320,695.555542
1340,677.007385
1360,695.555542
1380,704.82959
1400,695.555542
1420,695.555542
1440,695.555542
1460,686.281433
1480,677.007385
1500,695.555542
1520,704.82959
1540,686.281433
1560,695.555542
1580,695.555542
1600,695.555542
1620,695.555542
1640,677.007385
1660,704.82959
1680,695.555542
1700,686.281433
1720,686.281433
1740,695.555542
1760,686.281433
1780,686.281494
1800,695.555542
1820,695.555542
1840,695.555542
1860,686.281433
1880,686.281433
1900,686.281433
1920,686.281494
1940,695.555542
1960,695.555542
1980,686.281494
