TIME,VELOCITY
0,0
20,241.125916
40,528.622192
60,797.570313
80,1038.696167
100,945.955505
120,936.681458
140,899.585144
160,983.05188
180,1131.437012
200,1057.244385
220,1075.79248
240,1140.71106
260,1289.096191
280,1279.822144
300,1298.370361
320,1372.562988
340,1437.481445
360,1483.851807
380,1493.125977
400,1567.318481
420,1595.140747
440,1641.510986
460,1650.785156
480,1697.155518
500,1706.429565
520,1734.251953
540,1762.074097
560,1771.348145
580,1817.718384
600,1826.992432
620,1826.992432
640,1854.814819
660,1854.814819
680,1882.636963
700,1891.911011
720,1882.636963
740,1901.185059
760,1919.733398
780,1919.733398
800,1947.55542
820,1938.281494
840,1919.733398
860,1966.103638
880,1956.82959
900,1956.82959
920,1975.377686
940,1947.55542
960,1993.925903
980,1984.651855
