TIME;ANGLE VELOCITY
0.000000;0.473872
10.000000;130.883331
20.000000;0.000000
30.000000;0.000000
40.000000;130.883331
50.000000;130.883331
60.000000;130.883331
70.000000;130.883331
80.000000;130.883331
90.000000;261.766663
100.000000;261.766663
110.000000;261.766663
120.000000;130.883331
130.000000;261.766663
140.000000;261.766663
150.000000;392.649994
160.000000;261.766663
170.000000;261.766663
180.000000;392.649994
190.000000;261.766663
200.000000;523.533325
210.000000;261.766663
220.000000;523.533325
230.000000;261.766663
240.000000;523.533325
250.000000;523.533325
260.000000;392.649994
270.000000;392.649994
280.000000;523.533325
290.000000;392.649994
300.000000;523.533325
310.000000;523.533325
320.000000;523.533325
330.000000;523.533325
340.000000;654.416687
350.000000;523.533325
360.000000;523.533325
370.000000;785.299988
380.000000;523.533325
390.000000;654.416687
400.000000;654.416687
410.000000;654.416687
420.000000;523.533325
430.000000;785.299988
440.000000;654.416687
450.000000;654.416687
460.000000;654.416687
470.000000;654.416687
480.000000;785.299988
490.000000;785.299988
500.000000;523.533325
510.000000;785.299988
520.000000;785.299988
530.000000;785.299988
540.000000;654.416687
550.000000;916.183350
560.000000;654.416687
570.000000;916.183350
580.000000;785.299988
590.000000;785.299988
600.000000;785.299988
610.000000;916.183350
620.000000;785.299988
630.000000;916.183350
640.000000;785.299988
650.000000;916.183350
660.000000;785.299988
670.000000;916.183350
680.000000;785.299988
690.000000;1047.066650
700.000000;916.183350
710.000000;785.299988
720.000000;916.183350
730.000000;916.183350
740.000000;1047.066650
750.000000;916.183350
760.000000;916.183350
770.000000;916.183350
780.000000;1047.066650
790.000000;1047.066650
800.000000;1047.066650
810.000000;916.183350
820.000000;916.183350
830.000000;1047.066650
840.000000;916.183350
850.000000;1047.066650
860.000000;1047.066650
870.000000;916.183350
880.000000;1047.066650
890.000000;916.183350
900.000000;1177.949951
910.000000;916.183350
920.000000;1047.066650
930.000000;1047.066650
940.000000;1047.066650
950.000000;1047.066650
960.000000;1047.066650
970.000000;1047.066650
980.000000;1047.066650
990.000000;1047.066650
1000.000000;1047.066650
1010.000000;1047.066650
1020.000000;1177.949951
1030.000000;1047.066650
1040.000000;1047.066650
1050.000000;1047.066650
1060.000000;1177.949951
1070.000000;1177.949951
1080.000000;1047.066650
1090.000000;1177.949951
1100.000000;1177.949951
1110.000000;1047.066650
1120.000000;1177.949951
1130.000000;1047.066650
1140.000000;1177.949951
1150.000000;1047.066650
1160.000000;1177.949951
1170.000000;1047.066650
1180.000000;1177.949951
1190.000000;1047.066650
1200.000000;1308.833374
1210.000000;1047.066650
1220.000000;1177.949951
1230.000000;1177.949951
1240.000000;1047.066650
1250.000000;1177.949951
1260.000000;1177.949951
1270.000000;1177.949951
1280.000000;1047.066650
1290.000000;1308.833374
1300.000000;1047.066650
1310.000000;1177.949951
1320.000000;1308.833374
1330.000000;1047.066650
1340.000000;1308.833374
1350.000000;1047.066650
1360.000000;1177.949951
1370.000000;1177.949951
1380.000000;1177.949951
1390.000000;1177.949951
1400.000000;1177.949951
1410.000000;1177.949951
1420.000000;1177.949951
1430.000000;1177.949951
1440.000000;1177.949951
1450.000000;1177.949951
1460.000000;1177.949951
1470.000000;1047.066650
1480.000000;1308.833374
1490.000000;1177.949951
1500.000000;1177.949951
1510.000000;1177.949951
1520.000000;1177.949951
1530.000000;1177.949951
1540.000000;1308.833374
1550.000000;1047.066650
1560.000000;1308.833374
1570.000000;1177.949951
1580.000000;1177.949951
1590.000000;1177.949951
1600.000000;1308.833374
1610.000000;1047.066650
1620.000000;1308.833374
1630.000000;1177.949951
1640.000000;1177.949951
1650.000000;1308.833374
1660.000000;1177.949951
1670.000000;1177.949951
1680.000000;1177.949951
1690.000000;1177.949951
1700.000000;1308.833374
1710.000000;1047.066650
1720.000000;1308.833374
1730.000000;1308.833374
1740.000000;1047.066650
1750.000000;1308.833374
1760.000000;1177.949951
1770.000000;1177.949951
1780.000000;1308.833374
1790.000000;1047.066650
1800.000000;1308.833374
1810.000000;1177.949951
1820.000000;1308.833374
1830.000000;1308.833374
1840.000000;1308.833374
1850.000000;1177.949951
1860.000000;1177.949951
1870.000000;1308.833374
1880.000000;1177.949951
1890.000000;1177.949951
1900.000000;1177.949951
1910.000000;1308.833374
1920.000000;1047.066650
1930.000000;1308.833374
1940.000000;1177.949951
1950.000000;1308.833374
1960.000000;1047.066650
1970.000000;1308.833374
1980.000000;1308.833374
1990.000000;1177.949951
2000.000000;1177.949951
2010.000000;1308.833374
2020.000000;1047.066650
2030.000000;1308.833374
2040.000000;1308.833374
2050.000000;1177.949951
2060.000000;1177.949951
2070.000000;1308.833374
2080.000000;1177.949951
2090.000000;1308.833374
2100.000000;1047.066650
2110.000000;1308.833374
2120.000000;1308.833374
2130.000000;1177.949951
2140.000000;1308.833374
2150.000000;1177.949951
2160.000000;1308.833374
2170.000000;1177.949951
2180.000000;1308.833374
2190.000000;1177.949951
2200.000000;1177.949951
2210.000000;1308.833374
2220.000000;1047.066650
2230.000000;1308.833374
2240.000000;1308.833374
