TIME;ANGLE VELOCITY
2510.000000;1205.590576
2520.000000;1206.106079
2530.000000;1206.696045
2540.000000;1207.193115
2550.000000;1207.679443
2560.000000;1208.116089
2570.000000;1208.628540
2580.000000;1209.047119
2590.000000;1209.546143
2600.000000;1209.991699
2610.000000;1210.474365
2620.000000;1210.902710
2630.000000;1211.366943
2640.000000;1211.781372
2650.000000;1212.190674
2660.000000;1212.633911
2670.000000;1213.070435
2680.000000;1213.504639
2690.000000;1213.890259
2700.000000;1214.358276
2710.000000;1214.692383
2720.000000;1215.107910
2730.000000;1215.565674
2740.000000;1215.891602
2750.000000;1216.299805
2760.000000;1216.665527
2770.000000;1217.112793
2780.000000;1217.517334
2790.000000;1217.878052
2800.000000;1218.238037
2810.000000;1218.685547
2820.000000;1219.042480
2830.000000;1219.402100
2840.000000;1219.845947
2850.000000;1220.201904
2860.000000;1220.557129
2870.000000;1220.955322
2880.000000;1221.350220
2890.000000;1221.744019
2900.000000;1222.132935
2910.000000;1222.522339
2920.000000;1222.864868
2930.000000;1223.243774
2940.000000;1223.620728
2950.000000;1224.034668
2960.000000;1224.357788
2970.000000;1224.714844
2980.000000;1224.982788
2990.000000;1225.368774
