TIME,VELOCITY
0,0
20,166.933319
40,278.222229
60,510.074036
80,454.429626
100,574.992554
120,556.444397
140,667.733276
160,714.103638
180,797.570374
200,871.762939
220,908.859192
240,964.503662
260,1010.874023
280,1075.79248
300,1112.888916
320,1149.985107
340,1168.533203
360,1205.629639
380,1252
400,1270.548096
420,1298.370361
440,1298.370361
460,1344.740723
480,1354.014771
500,1363.288818
520,1391.111084
540,1409.65918
560,1418.93335
580,1418.93335
600,1446.755615
620,1456.029541
640,1465.303711
660,1474.577637
680,1483.851807
700,1493.125854
720,1483.851807
740,1520.947998
760,1511.674072
780,1511.674072
800,1530.222168
820,1539.496216
840,1530.222168
860,1539.496338
880,1539.496338
900,1539.496216
920,1539.496338
940,1548.770264
960,1558.044434
980,1539.496338
1000,1558.044434
1020,1558.044434
1040,1558.044434
1060,1576.592529
1080,1548.770264
1100,1567.318481
1120,1567.318481
1140,1567.318481
1160,1576.592529
1180,1576.592529
1200,1567.318481
1220,1576.592529
1240,1585.866699
1260,1576.592529
1280,1585.866699
1300,1576.592529
1320,1576.592529
1340,1585.866699
1360,1585.866699
1380,1576.592529
1400,1576.592529
1420,1585.866699
1440,1576.592529
1460,1585.866699
1480,1585.866699
1500,1595.140747
1520,1567.318481
1540,1595.140747
1560,1576.592529
1580,1576.592529
