TIME,YAW_RATE_DEG_S
0,0
20,-50.010849
40,-50.010849
60,-112.524414
80,-137.529846
100,-162.535263
120,-175.037979
140,-200.043396
160,-212.546112
180,-237.551529
200,-250.05426
220,-262.556976
240,-250.05426
260,-287.562378
280,-287.562408
300,-287.562408
320,-300.065094
340,-312.56781
360,-312.56781
380,-325.070526
400,-337.573242
420,-325.070526
440,-350.075958
460,-337.573242
480,-325.070526
500,-350.075958
520,-337.573242
540,-337.573242
560,-337.573242
580,-325.070526
600,-337.573242
620,-325.070526
640,-325.070526
660,-350.075958
680,-325.070526
700,-350.075958
720,-337.573242
740,-350.075958
760,-337.573242
780,-350.075958
800,-337.573242
820,-350.075958
840,-350.075958
860,-337.573242
880,-337.573242
900,-337.573242
920,-350.075958
940,-350.075958
960,-337.573242
980,-337.573242
1000,-350.075958
1020,-337.573242
1040,-337.573242
1060,-350.075958
1080,-325.070526
1100,-337.573242
1120,-337.573242
1140,-350.075958
1160,-337.573242
1180,-337.573242
1200,-325.070526
1220,-325.070526
1240,-337.573242
1260,-325.070526
1280,-325.070526
1300,-337.573242
1320,-325.070526
1340,-337.573242
1360,-325.070526
1380,-337.573242
1400,-337.573242
1420,-350.075958
1440,-325.070526
1460,-350.075958
1480,-337.573242
1500,-325.070526
1520,-337.573242
1540,-325.070526
1560,-325.070526
1580,-312.56781
