TIME;VELOCITY
0.000000;0.000000
20.000000;343.140747
40.000000;769.748169
60.000000;1010.874084
80.000000;1149.985229
100.000000;1289.096436
120.000000;1344.740845
140.000000;1289.096436
160.000000;1335.466797
180.000000;1428.207520
200.000000;1437.481567
220.000000;1400.385254
240.000000;1539.496338
260.000000;1576.592773
280.000000;1585.866699
300.000000;1715.703857
320.000000;1724.977905
340.000000;1724.977905
360.000000;1845.540771
380.000000;1836.266724
400.000000;1882.637207
420.000000;1966.103760
440.000000;1947.555664
460.000000;1966.103760
480.000000;2021.748291
500.000000;1984.651978
520.000000;2040.296387
540.000000;2049.570313
560.000000;2049.570557
580.000000;2077.392578
600.000000;2058.844727
620.000000;2170.133545
640.000000;2086.666992
660.000000;2133.037354
680.000000;2133.037109
700.000000;2179.407471
720.000000;2188.681641
740.000000;2133.037109
760.000000;2188.681641
780.000000;2179.407471
800.000000;2179.407715
820.000000;2179.407715
840.000000;2160.859375
860.000000;2197.955566
880.000000;2160.859375
900.000000;2225.777832
920.000000;2197.955566
940.000000;2253.600098
960.000000;2197.955566
980.000000;2235.052002
1000.000000;2197.955566
1020.000000;2207.229736
1040.000000;2253.600098
1060.000000;2188.681641
1080.000000;2253.600098
1100.000000;2207.229736
1120.000000;2244.326172
1140.000000;2225.777832
1160.000000;2281.422363
1180.000000;2290.696289
1200.000000;2290.696533
1220.000000;2337.066895
1240.000000;2225.777832
1260.000000;2299.970703
1280.000000;2207.229736
1300.000000;2281.422363
1320.000000;2235.052002
1340.000000;2262.874268
1360.000000;2207.229736
1380.000000;2235.052002
1400.000000;2235.052002
1420.000000;2235.052002
1440.000000;2299.970459
1460.000000;2235.052002
1480.000000;2290.696289
1500.000000;2253.600098
1520.000000;2299.970703
1540.000000;2244.326172
1560.000000;2235.052002
1580.000000;2309.244629
