TIME;VELOCITY
0.000000;0.000000
10.000000;185.481491
20.000000;185.481491
30.000000;185.481491
40.000000;370.962982
50.000000;370.962982
60.000000;370.962982
70.000000;556.444458
80.000000;370.962982
90.000000;370.962982
100.000000;556.444458
110.000000;741.925964
120.000000;556.444458
130.000000;556.444458
140.000000;741.925964
150.000000;741.925964
160.000000;556.444458
170.000000;741.925964
180.000000;741.925964
190.000000;741.925964
200.000000;741.925964
210.000000;927.407471
220.000000;927.407471
230.000000;1112.888916
240.000000;741.925964
250.000000;1112.888916
260.000000;927.407471
270.000000;927.407471
280.000000;927.407471
290.000000;1112.888916
300.000000;927.407471
310.000000;1112.888916
320.000000;1112.888916
330.000000;1112.888916
340.000000;1112.888916
350.000000;1112.888916
360.000000;1112.888916
370.000000;1112.888916
380.000000;1112.888916
390.000000;1112.888916
400.000000;1298.370361
410.000000;1112.888916
420.000000;1112.888916
430.000000;1112.888916
440.000000;1112.888916
450.000000;1112.888916
460.000000;1298.370361
470.000000;1298.370361
480.000000;1112.888916
490.000000;1112.888916
500.000000;1298.370361
510.000000;1112.888916
520.000000;1112.888916
530.000000;1298.370361
540.000000;1298.370361
550.000000;1298.370361
560.000000;1112.888916
570.000000;1112.888916
580.000000;1112.888916
590.000000;1298.370361
600.000000;1298.370361
610.000000;1298.370361
620.000000;1483.851929
630.000000;1112.888916
640.000000;1112.888916
650.000000;1298.370361
660.000000;1483.851929
670.000000;1298.370361
680.000000;1298.370361
690.000000;1112.888916
700.000000;1298.370361
710.000000;1112.888916
720.000000;1483.851929
730.000000;1112.888916
740.000000;1298.370361
750.000000;1483.851929
760.000000;1483.851929
770.000000;1298.370361
780.000000;1298.370361
790.000000;1298.370361
800.000000;1483.851929
810.000000;1298.370361
820.000000;1112.888916
830.000000;1483.851929
840.000000;1483.851929
850.000000;1483.851929
860.000000;1298.370361
870.000000;1112.888916
880.000000;1112.888916
890.000000;1112.888916
900.000000;1298.370361
910.000000;1298.370361
920.000000;1483.851929
930.000000;1298.370361
940.000000;1298.370361
950.000000;1112.888916
960.000000;1298.370361
970.000000;1298.370361
980.000000;1483.851929
990.000000;1298.370361
